Werknummer;Titel (Pflicht);Sonstiger Titel;Anzahl der mitwirkenden Musiker;Spieldauer in mm:ss;Verlag;Name Interpret 1 (ein Beteiligter ist Pflicht);Vorname Interpret 1;Name Komponist 1;Vorname Komponist 1;Name Textdichter 1;Vorname Textdichter 1;Name Bearbeiter 1;Vorname Bearbeiter 1;Name Interpret 2;Vorname Interpret 2;Name Komponist 2;Vorname Komponist 2;Name Textdichter 2;Vorname Textdichter 2;Name Bearbeiter 2;Vorname Bearbeiter 2;Name Interpret 3;Vorname Interpret 3;Name Komponist 3;Vorname Komponist 3;Name Textdichter 3;Vorname Textdichter 3;Name Bearbeiter 3;Vorname Bearbeiter 3
;Blaue Jungs;;;;;Martin Dreiling;;;;;;;;;;;;;;;;;;;;;;;
;Wir sind Kameraden auf See;;;;;Robert Küssel;;;;;;;;;;;;;;;;;;;;;;;
;Ich schicke dir eine Prise Sand;;;;;Martin Dreiling;;;;;;;;;;;;;;;;;;;;;;;
;Endlos sind jene Meere;;;;;Martin Dreiling;;;;;;;;;;;;;;;;;;;;;;;
;Auch Matrosen haben eine Heimat;;;;;Gisela May;;;;;;;;;;;;;;;;;;;;;;;
;Sloop John;;;;;Martin Dreiling;;;;;;;;;;;;;;;;;;;;;;;
;Windjammer;;;;;Martin Dreiling;;;;;;;;;;;;;;;;;;;;;;;
;Wenn bei Sturm und Wetterlicht;;;;;A.Grünewald;;;;;;;;;;;;;;;;;;;;;;;
;Keine Frau ist so schön wie die Freiheit;;;;;W. Rothenberg;;;;;;;;;;;;;;;;;;;;;;;
;Molly Malone;;;;;Martin Dreiling;;;;;;;;;;;;;;;;;;;;;;;
;My Bonny is over the Ocean;;;;;Martin Dreiling;;;;;;;;;;;;;;;;;;;;;;;
;Über uns der blaue Himmel;;;;;Martin Dreiling;;;;;;;;;;;;;;;;;;;;;;;
;Seemann, deine Heimat;;;;;W. Scharfenberger;;;;;;;;;;;;;;;;;;;;;;;
;Die Windjammer kommen;;;;;R. Münsing;;;;;;;;;;;;;;;;;;;;;;;
;Gorch-Fock Marsch;;;;;Peter Schierhorst;;;;;;;;;;;;;;;;;;;;;;;
;Junge, komm bald wieder;;;;;Walter Rothenburger;;;;;;;;;;;;;;;;;;;;;;;
;La Paloma;;;;;Helmut Keutner;;;;;;;;;;;;;;;;;;;;;;;
;Kari waits for me;;;;;Martin Dreiling;;;;;;;;;;;;;;;;;;;;;;;
;Dat du min Leevsten bist;;;;;Martin Dreiling;;;;;;;;;;;;;;;;;;;;;;;
;Kleine Möwe, flieg nach Helgoland;;;;;Bruno Balz;;;;;;;;;;;;;;;;;;;;;;;
;Rolling home;;;;;Martin Dreiling;;;;;;;;;;;;;;;;;;;;;;;
;Gorch-Fock-Lied;;;;;Hans v. Stachelberg;;;;;;;;;;;;;;;;;;;;;;;
;Santiano;;;;;Hugers Aufray;;;;;;;;;;;;;;;;;;;;;;;
;Capitano, Capitano;;;;;Jean Frankfurter;;;;;;;;;;;;;;;;;;;;;;;
;Abendgebet am Kai;;;;;Martin Dreiling;;;;;;;;;;;;;;;;;;;;;;;
